Turbo Title,Setup,Thread ID,Game ID,Winning Alignment,Villagers,Wolves
Rem needs a day 1 elim - [joat10 game],joat10,43285,6581,Mafia,"['Rem', 'CutenessOverload', 'matt', 'Arctic', 'Taffy', 'Hallia', 'fires', 'Nilus']","['baudib1', 'InstantHammer']"
Will Rem phone it in as wolf or as town this time? - [joat10 game],joat10,43289,6582,Town,"['Hallia', 'Purrito', 'CutenessOverload', 'matt', 'baudib1', 'insomnia', 'Haze with a Z', 'tepig19283']","['MerelBlackbird', 'Hooper']"
wow - [joat10 game],joat10,43293,6583,Mafia,"['baudib1', 'CutenessOverload', 'bystander', 'Hallia', 'Haze with a Z', 'Abraham DeLacey', 'Luna', 'gamer']","['BigMenLover9923', 'Purrito']"
jess/Sam turbo - [cop9 game],cop9,43298,6584,Mafia,"['CutenessOverload', 'jess', 'baudib1', 'SamP4Palmer', 'gamer', 'CarnethystPhoenix', 'Garden Gnome']","['Haze with a Z', 'Prince J']"
boob rwstfo - [joat10 game],joat10,43304,6585,Town,"['EvilContract', 'insomnia', 'loopy69', 'bystander', 'Stake', 'Nilus', 'Joe Bruin', 'AkaneSQ']","['Taffy', 'CarnethystPhoenix']"
for jc - [joat10 game],joat10,43308,6586,Town,"['Joe Bruin', 'matt', 'gamer', 'bystander', 'Taffy', 'Akasuki', 'Hooper', 'tepig19283']","['insomnia', 'Variance']"
HANG ME DADDY - [joat10 game],joat10,43313,6587,Town,"['Rem', 'Hooper', 'Variance', 'Arctic', 'Dahkah', 'insomnia', 'bystander', 'Zharvakko']","['baudib1', 'matt']"
Only hosts and players on the list are allowed to execute this function. - [joat10 game],joat10,43317,6588,Town,"['matt', 'Dahkah', 'insomnia', 'snally', 'bystander', 'CutenessOverload', 'Joe Bruin', 'fires']","['loopy69', 'baudib1']"
hosts r losers - [joat10 game],joat10,43321,6589,Town,"['jess', 'Dahkah', 'Macdougall', 'BigMenLover9923', 'evakyoo', 'fires', 'Haze with a Z', 'matt']","['snally', 'CutenessOverload']"
baud is tired - [joat10 game],joat10,43325,6590,Town,"['snally', 'baudib1', 'gamer', 'CutenessOverload', 'matt', 'Macdougall', 'Haze with a Z', 'DiSoRiEnTeD']","['jess', 'DarkB']"
kill john carter on day 1 wow! - [joat10 game],joat10,43329,6591,Mafia,"['loopy69', 'BigMenLover9923', 'gamer', 'Homeslice', 'baudib1', 'matt', 'snally', 'SamP4Palmer']","['jess', 'CutenessOverload']"
WTF wtf - [joat10 game],joat10,43333,6592,Town,"['baudib1', 'AkaneSQ', 'insomnia', 'gamer', 'CarnethystPhoenix', 'Nilus', 'CutenessOverload', 'Hooper']","['InstantHammer', 'benneh']"
weigfhweghgweg789whg9wh - [joat10 game],joat10,43357,6597,Mafia,"['InstantHammer', 'gamer', 'tepig19283', 'Arctic', 'Hooper', 'AkaneSQ', 'BigMenLover9923', 'insomnia']","['loopy69', 'CarnethystPhoenix']"
took her spot - [joat10 game],joat10,43366,6599,Town,"['InstantHammer', 'Dahkah', 'Arctic', 'arogame123', 'Hooper', 'Stake', 'Nilus', 'DiSoRiEnTeD']","['loopy69', 'BigMenLover9923']"
Automated turbo game thread: f2dffd7e-c3de-44 - [joat10 game],joat10,43371,6600,Town,"['benneh', 'InstantHammer', 'CutenessOverload', 'baudib1', 'snally', 'Rem', 'fires', 'gamer']","['Xander Bly', 'Luna']"
boob3 - [joat10 game],joat10,43379,6602,Town,"['Homeslice', 'Haze with a Z', 'Garden Gnome', 'alexa.', 'SamP4Palmer', 'Gira', 'Xander Bly', 'baudib1']","['Akasuki', 'fires']"
for loopy69 - [joat10 game],joat10,43385,6603,Mafia,"['benneh', 'insomnia', 'snally', 'eepy', 'Homeslice', 'Luna', 'arogame123', 'BigMenLover9923']","['baudib1', 'Arctic']"
ok - [joat10 game],joat10,43389,6604,Town,"['Luna', 'townboy', 'Haze with a Z', 'SheepButGood', 'eepy', 'baudib1', 'anne.', 'sevenseas']","['TigerWoodsPGATour2004', 'Joe Bruin']"
Eurasia turbo with Muricans - [joat10 game],joat10,43394,6605,Town,"['InstantHammer', 'Arctic', 'CutenessOverload', 'Haze with a Z', 'Akasuki', 'Nilus', 'insomnia', 'SamP4Palmer']","['baudib1', 'Garden Gnome']"
eepy here to lunch insomnia - [joat10 game],joat10,43398,6606,Mafia,"['insomnia', 'baudib1', 'Garden Gnome', 'eepy', 'Rem', 'Nilus', 'CarnethystPhoenix', 'Pony']","['Milxey', 'snally']"
"trust in homeslice, for homeslice trusts in you - [joat10 game]",joat10,43412,6609,Town,"['Homeslice', 'insomnia', 'Variance', 'Luna', 'TigerWoodsPGATour2004', 'gamer', 'snally', 'eepy']","['baudib1', 'townboy']"
for homeslice - [cop9 game],cop9,43421,6611,Town,"['Homeslice', 'Abraham DeLacey', 'Garden Gnome', 'Prince J', 'SamP4Palmer', 'Akasuki', 'Haze with a Z']","['TigerWoodsPGATour2004', 'snally']"
test again - [bomb10 game],bomb10,43436,6614,Draw,"['katze', 'loopy69', 'Joe Bruin', 'Butterr', 'WolfnodDotGif', 'baudib1', 'moppo', 'Ex Lion Tamer']","['Abraham DeLacey', 'Wazanny']"
eepy urbo - [bomb10 game],bomb10,43440,6615,Mafia,"['insomnia', 'eepy', 'baudib1', 'alexa.', 'Nilus', 'Arctic', 'Akasuki', 'Xanjori']","['Luna', 'Garden Gnome']"
"WTF!!

Snally literally tried to suicide bomb me and the game bugged!!!!! - [bomb10 game]",bomb10,43449,6617,Mafia,"['eepy', 'insomnia', 'Garden Gnome', 'gamer', 'snally', 'Akasuki', 'baudib1', 'DoctorZeus']","['Hooper', 'Variance']"
insomnia literally tried to suicide bomb Variance and the game bugged!!!!! - [bomb10 game]",bomb10,43453,6618,Town,"['eepy', 'gamer', 'Garden Gnome', 'snally', 'BigMenLover9923', 'Akasuki', 'insomnia', 'Stake']","['DoctorZeus', 'Arctic']"
WTF!!!!!!!! DZ didn't get the suicide bomb and the game bugged - [bomb10 game],bomb10,43457,6619,Mafia,"['Arctic', 'alexa.', 'baudib1', 'insomnia', 'gamer', 'Hooper', 'Xander Bly', 'DoctorZeus']","['CutenessOverload', 'Garden Gnome']"
brogame is not an alt - [bomb10 game],bomb10,43462,6620,Town,"['CutenessOverload', 'Akasuki', 'baudib1', 'jess', 'Arctic', 'Xander Bly', 'Brogame123', 'arogame123']","['Haze with a Z', 'alexa.']"
wow - [vig10 game],vig10,43471,6622,Mafia,"['SamP4Palmer', 'Abraham DeLacey', 'snally', 'Garden Gnome', 'Nilus', 'Homeslice', 'SheepButGood', 'Zharvakko']","['jess', 'Prince J']"
another game - [joat10 game],joat10,43476,6623,Town,"['SheepButGood', 'baudib1', 'Lukeh', 'Nilus', 'SamP4Palmer', 'CarnethystPhoenix', 'BigMenLover9923', 'Zharvakko']","['jess', 'TigerWoodsPGATour2004']"
I’m in u noob!!!! wtf!! - [joat10 game],joat10,43481,6624,Town,"['Smaug', 'baudib1', 'Hooper', 'eepy', 'CarnethystPhoenix', 'Nilus', 'Garden Gnome', 'gamer']","['SamP4Palmer', 'CutenessOverload']"
changes changes asdf - [bomb10 game],bomb10,43485,6625,Town,"['Akasuki', 'arogame123', 'Nilus', 'CarnethystPhoenix', 'Garden Gnome', 'baudib1', 'Rem', 'Hooper']","['EvilContract', 'eepy']"
fix deez nuts - [bomb10 game],bomb10,43493,6627,Mafia,"['SamP4Palmer', 'eepy', 'wow', 'Homeslice', 'PepsiMango', 'Nilus', 'YoubutWorse', 'gamer']","['CutenessOverload', 'EvilContract']"
wildcard weekend - [bomb10 game],bomb10,43497,6628,Town,"['SamP4Palmer', 'gamer', 'PepsiMango', 'alexa.', 'eepy', 'Akasuki', 'NotAWallPoster', 'CarnethystPhoenix']","['EvilContract', 'arogame123']"
omg ffs i am sooooooooooooooooooooooo sorry,joat10,41274,6138,Town,"['Happy', 'lol', 'Taffy', 'gamer', 'insomnia', 'Pandoras Actor', 'moonstermash', 'DoctorZeus']","['matt', 'baudib1']"
boquise randed town tbh. you should kill him n1 tbqfh he is scary tbh!!!!,joat10,41270,6137,Town,"['gamer', 'Kajot', 'insomnia', 'matt', 'baudib1', 'Kakuna', 'fires', 'Taffy']","['Happy', 'InstantHammer']"
anne finally got to rand,joat10,41265,6136,Mafia,"['insomnia', 'Gira', 'wolfboy', 'Garden Gnome', 'moonstermash', 'anne.', 'Kajot', 'InstantHammer']","['matt', 'alexa.']"
jc and ducky are too cool for school,joat10,41143,6107,Mafia,"['InstantHammer', 'matt', 'Kajot', 'The Penguin', 'evakyoo', 'Taffy', 'LanMisa', 'Carlos']","['Variance', 'Duckt']"
ITS A VIG 10ER,vig10,41122,6102,Mafia,"['baudib1', 'DoctorZeus', 'jess', 'mhsmith0', 'ladd', 'lol', 'Macdougall', 'iaafr']","['matt', 'awesome5000']"
afk check deez nuts,joat10,41225,6126,Mafia,"['wolfboy', 'insomnia', 'Donut Boy', 'DoctorZeus', 'baudib1', 'OUTM', 'DUKE!', 'benneh']","['Variance', 'Pandoras Actor']"
alexas trivia night adventure: solving a turbo,joat10,41229,6127,Town,"['alexa.', 'DUKE!', 'Xanjori', 'judge rabbit', 'anne.', 'matt', 'moonstermash', 'gamer']","['baudib1', 'Stake']"
test game boob1,joat10,41147,6108,Town,"['Variance', 'InstantHammer', 'katze', 'gamer', 'Abraham DeLacey', 'WolfnodDotGif', 'moppo', 'baudib1']","['Butterr', 'Seel']"
achro go sleeby,joat10,41044,6084,Town,"['Broncos Country Lets Ride', 'baudib1', 'Zugzwang', 'spookycat27', 'anne.', 'alexa.', 'SeriousMafiaPlayer', 'gamer']","['Soap', 'Vikuale2']"
kakuna randed vanilla town :),joat10,41218,6124,Town,"['Hallia', 'insomnia', 'baudib1', 'matt', 'Tanglefire', 'Kajot', 'fires', 'Xanjori']","['moonstermash', 'Kakuna']"
clouds (0) frozen and crying,joat10,41083,6093,Town,"['Vikuale2', 'matt', 'Arctic', 'Jkreind', 'Kajot', 'Juliette', 'Clouds', 'DUKE!']","['Xanjori', 'faithless']"
zomg jess turbo,joat10,41114,6100,Town,"['baudib1', 'Haze with a Z', 'alexanne', 'DUKE!', 'Manny', 'jess', 'matt', 'Jkreind']","['Vikuale2', 'Carlos']"
moon is a hero,vig10,41233,6128,Mafia,"['alexa.', 'anne.', 'DUKE!', 'judge rabbit', 'Absinthe.', 'fires', 'Zharvakko', 'moonstermash']","['baudib1', 'Haze with a Z']"
D1 MAJS ARE ON FOR REAL!!!!!!!!!!!!!!!!!!!!!!! WARNING!!!!!!!!!!!!!!!!!!!!!!!,joat10,41164,6112,Town,"['matt', 'Kajot', 'benneh', 'Variance', 'baudib1', 'DUKE!', 'Kakuna', 'DoctorZeus']","['fires', 'Xanjori']"
Justin turbo,joat10,41051,6086,Town,"['alexanne', 'baudib1', 'OUTM', 'Haze with a Z', 'matt', 'DUKE!', 'Manny', 'Carlos']","['angrysheriff', 'Justinrs2']"
anne randed MAFIA KILL HER,joat10,41258,6134,Town,"['Garden Gnome', 'baudib1', 'Prince J', 'moonstermash', 'fires', 'matt', 'anne.', 'Pony']","['Absinthe.', 'iaafr']"
rand when ih has one minute,joat10,41097,6096,Town,"['benneh', 'Haru Okumura', 'InstantHammer', 'Happy', 'Vikuale2', 'Manny', 'DUKE!', 'Clouds']","['baudib1', 'matt']"
annes neo is playing,joat10,41068,6090,Town,"['baudib1', 'Kajot', 'InstantHammer', 'alexa.', 'Clouds', 'DoctorZeus', 'anne.', 'Zharvakko']","['DUKE!', 'Gengar']"
alexa randed this turbo,joat10,41246,6131,Mafia,"['baudib1', 'InstantHammer', 'wolfboy', 'Variance', 'Happymeal', 'Donut Boy', 'lol', 'DUKE!']","['Vikuale2', 'Zharvakko']"
benneh is the joat,joat10,41156,6110,Mafia,"['Kajot', 'baudib1', 'SheepButGood', 'InstantHammer', 'Kakuna', 'Arctic', 'Jkreind', 'benneh']","['Variance', 'matt']"
ricardo,joat10,41187,6117,Mafia,"['Xanjori', 'lol', 'Kuti plz', 'gamer', 'Kajot', 'Pandaren Brewmaster', 'Athena Cykes', 'Ricardo']","['Zharvakko', 'villabr0s']"
ur mom lunches boob1,joat10,41250,6132,Mafia,"['matt', 'Garden Gnome', 'Happymeal', 'moonstermash', 'DoctorZeus', 'Vandyfan402', 'Zharvakko', 'baudib1']","['Xanjori', 'wolfboy']"
To be or not to be,joat10,41205,6122,Town,"['insomnia', 'Xanjori', 'matt', 'baudib1', 'Kajot', 'Vikuale2', 'Zharvakko', 'ladd']","['Carlos', 'Happymeal']"
everybody call alexas workplace so she slanks,joat10,41064,6089,Town,"['alexa.', 'Clouds', 'Delta', 'matt', 'LimeCoke', 'Zharvakko', 'Laurentus', 'Arctic']","['lol', 'neil the eel']"
this makes katzes prepared title less funny,joat10,41201,6121,Mafia,"['Vikuale2', 'Xanjori', 'Happymeal', 'wolfboy', 'DUKE!', 'Kajot', 'InstantHammer', 'sushi']","['arogame123', 'Zharvakko']"
launch boob1,joat10,41151,6109,Town,"['InstantHammer', 'Variance', 'DoctorZeus', 'baudib1', 'ladd', 'gamer', 'Vikuale2', 'faithless']","['SheepButGood', 'Kajot']"
before i need to go,joat10,41134,6105,Mafia,"['InstantHammer', 'Manny', 'lol', 'Zharvakko', 'Haru Okumura', 'benneh', 'faithless', 'Haze with a Z']","['Happy', 'Kajot']"
"i miss alexa, i cant believe manny killed her",joat10,41093,6095,Town,"['InstantHammer', 'Athena Cykes', 'Delta', 'gamer', 'The Penguin', 'DoctorZeus', 'Kajot', 'Manny']","['Xanjori', 'Clouds']"
eva checking too much tbh,joat10,41168,6113,Town,"['matt', 'baudib1', 'Kajot', 'SeriousMafiaPlayer', 'neil the eel', 'evakyoo', 'Variance', 'Haze with a Z']","['DUKE!', 'Xanjori']"
outm is a minecraft pvp legend real,joat10,41175,6114,Mafia,"['matt', 'DUKE!', 'Beck', 'Zharvakko', 'gamer', 'Prince J', 'Carlos', 'SheepButGood']","['OUTM', 'Gira']"
Automated turbo game thread: 37da7bff-4140-44,joat10,41118,6101,Mafia,"['jess', 'Manny', 'Xanjori', 'Vikuale2', 'Carlos', 'Porscha', 'SheepButGood', 'Mischief']","['matt', 'baudib1']"
please kill alexa before katze has to actually do anything,joat10,41254,6133,Town,"['Happymeal', 'matt', 'fires', 'katlexa', 'DUKE!', 'evakyoo', 'Haze with a Z', 'DoctorZeus']","['moonstermash', 'Zharvakko']"
bad title,joat10,41214,6123,Town,"['insomnia', 'moonstermash', 'Gira', 'DoctorZeus', 'matt', 'Xanjori', 'baudib1', 'InstantHammer']","['Tanglefire', 'Hallia']"
Waza js a hero,joat10,41078,6092,Mafia,"['Arctic', 'Xanjori', 'matt', 'Jkreind', 'Juliette', 'OUTM', 'Vikuale2', 'Clouds']","['Delta', 'Happy']"
quick before pandoras outs,joat10,41238,6129,Mafia,"['baudib1', 'anne.', 'Pandoras Actor', 'lol', 'Xanjori', 'wolfboy', 'yogsloth', 'Illwei']","['gamer', 'moppo']"
start,joat10,41183,6116,Mafia,"['DoctorZeus', 'ladd', 'Xanjori', 'anne.', 'katlexa', 'Zharvakko', 'faithless', 'Delta']","['Gira', 'lol']"
sheep boob1 don't mislunch him guis comeon,joat10,41110,6099,Mafia,"['OUTM', 'InstantHammer', 'matt', 'Hawt Sauce', 'Manny', 'minted snow', 'yogsloth', 'Haze with a Z']","['baudib1', 'DoctorZeus']"
Carlos is the JOAT,joat10,41105,6098,Mafia,"['matt', 'baudib1', 'Pandoras Actor', 'Happy', 'Haze with a Z', 'Vikuale2', 'Justinrs2', 'Porscha']","['Carlos', 'Manny']"
manny is banned so alexa is legally allowed to play turbos again,joat10,41179,6115,Mafia,"['baudib1', 'alexa.', 'Happy', 'faithless', 'InstantHammer', 'Taffy', 'lol', 'gamer']","['neil the eel', 'Gira']"
sheep boob1 don't mislunch him guis comeon,joat10,41072,6091,Mafia,"['Happy', 'Zharvakko', 'Myzrael', 'Kajot', 'Delta', 'Manny', 'Kakuna', 'Stake']","['Clouds', 'baudib1']"
"bebbeh,,,,,,,,,,,,,",joat10,41160,6111,Town,"['baudib1', 'DoctorZeus', 'Arctic', 'ladd', 'gamer', 'SheepButGood', 'Kakuna', 'faithless']","['matt', 'Kajot']"
sitting in bars with cake,joat10,41088,6094,Mafia,"['matt', 'Arctic', 'DUKE!', 'sOHiJK', 'benneh', 'Juliette', 'spookycat27', 'DiSoRiEnTeD']","['evakyoo', 'alexanne']"
sleepy wittle arcy 😊,joat10,41138,6106,Mafia,"['matt', 'Happy', 'benneh', 'Manny', 'jess', 'Vikuale2', 'Haze with a Z', 'Kajot']","['faithless', 'Arctic']"
rand the game,joat10,41055,6087,Mafia,"['Juliette', 'Porscha', 'DUKE!', 'matt', 'awesome5000', 'neil the eel', 'baudib1', 'Macdougall']","['Happymeal', 'Carlos']"
this one will be the legendary ben haru wolf team game for sure,joat10,41126,6103,Mafia,"['matt', 'lol', 'mhsmith0', 'awesome5000', 'Haru Okumura', 'Carlos', 'evakyoo', 'Myzrael']","['Abraham DeLacey', 'baudib1']"
that's a manny kill,joat10,41040,6083,Town,"['Happy', 'Vandyfan402', 'matt', 'evakyoo', 'baudib1', 'Porscha', 'Arctic', 'Juliette']","['Soap', 'sOHiJK']"
janury 23th,joat10,41023,6079,Town,"['ladd', 'gamer', 'Manny', 'Vikuale2', 'Porscha', 'Stick', 'Laurentus', 'InstantHammer']","['matt', 'Kajot']"
force randed!!! OWNED!!!,joat10,41032,6081,Town,"['matt', 'Broncos Country Lets Ride', 'baudib1', 'Xanjori', 'Porscha', 'Juliette', 'Laurentus', 'Vikuale2']","['Kajot', 'anne.']"
its become hard to be the first to rand,joat10,41036,6082,Town,"['matt', 'Porscha', 'Juliette', 'alexanne', 'Manny', 'Broncos Country Lets Ride', 'baudib1', 'Kajot']","['Xanjori', 'Vikuale2']"
jk,joat10,41028,6080,Draw,"['matt', 'Kajot', 'Donut Boy', 'Porscha', 'Vikuale2', 'neil the eel', 'Manny', 'ladd']","['baudib1', 'Xanjori']"
do not lunch boob1 ever,joat10,41607,6211,Town,"['baudib1', 'matt', 'Hallia', 'insomnia', 'Kajot', 'arogame123', 'Taffy', 'InstantHammer']","['neil the eel', 'Tanglefire']"
bring dya to f3,joat10,41603,6210,Town,"['insomnia', 'anne.', 'alexa.', 'InstantHammer', 'benneh', 'Kajot', 'Tanglefire', 'Purrito']","['ladd', 'lol']"
dk donkey kong,cop9,41594,6208,Town,"['matt', 'DUKE!', 'Happy', 'DoctorZeus', 'Kajot', 'ladd', 'arogame123']","['Donut Boy', 'Porscha']"
manny hero,joat10,41589,6207,Mafia,"['Dandelion', 'benneh', 'Donut Boy', 'Happy', 'Macdougall', 'ladd', 'baudib1', 'Hyena']","['matt', 'Manny']"
Title of game thread,joat10,41577,6205,Town,"['baudib1', 'insomnia', 'Rem', 'InstantHammer', 'Kajot', 'wolfboy', 'Tanglefire', 'Xanjori']","['Happy', 'Prince J']"
"i cant believe this filler, please dont d1 InstantHammer",joat10,41573,6204,Mafia,"['baudib1', 'Manny', 'insomnia', 'lol', 'Xanjori', 'The Penguin', 'Pandoras Actor', 'LittEleven']","['InstantHammer', 'Happy']"
macpoodle,joat10,41569,6203,Mafia,"['Hallia', 'baudib1', 'Manny', 'matt', 'Clouds', 'neil the eel', 'The Lukundo', 'Trisscar']","['Happy', 'Macdougall']"
shrugyeet Alexa D1,joat10,41565,6202,Mafia,"['baudib1', 'Illwei', 'anne.', 'Happy', 'Nippleman', 'Carlos', 'Manny', 'Donut Boy']","['alexa.', 'DUKE!']"
this kinda has to fill or manny is out,joat10,41556,6200,Town,"['alexa.', 'Nippleman', 'Violet', 'Xanjori', 'Manny', 'wolfboy', 'insomnia', 'Happy']","['baudib1', 'Porscha']"
lol,joat10,41552,6199,Town,"['lol', 'Kajot', 'Happy', 'benneh', 'insomnia', 'baudib1', 'spookycat27', 'InstantHammer']","['Nippleman', 'wolfboy']"
Carlos is mafia but you will not kill him,joat10,41544,6197,Town,"['baudib1', 'Happy', 'Hyena', 'Nippleman', 'Carlos', 'matt', 'Hallia', 'Manny']","['Macdougall', 'spookycat27']"
shrugyeet ur mom,joat10,41548,6198,Town,"['wolfboy', 'lol', 'baudib1', 'Pandoras Actor', 'insomnia', 'benneh', 'neil the eel', 'Kajot']","['Nippleman', 'alexa.']"
soneone rand,joat10,41538,6196,Town,"['wolfboy', 'Kajot', 'Violet', 'InstantHammer', 'benneh', 'matt', 'lol', 'Delta']","['insomnia', 'LanMisa']"
quick before carlos sleeps,joat10,41534,6195,Town,"['Variance', 'baudib1', 'insomnia', 'Happy', 'InstantHammer', 'Xanjori', 'Carlos', 'Kajot']","['wolfboy', 'Taffy']"
ROYGBIV,joat10,41530,6194,Town,"['matt', 'Variance', 'Macdougall', 'InstantHammer', 'Manny', 'Donut Boy', 'lol', 'Violet']","['Carlos', 'ladd']"
I will play if manny and alexa are playing then !,joat10,41526,6193,Town,"['matt', 'DUKE!', 'Hyena', 'mhsmith0', 'gamer', 'Alexanny', 'Haze with a Z', 'anne.']","['Pony', 'Carlos']"
I wanted to vig smith but he randed JOAT,joat10,41522,6192,Mafia,"['Illwei', 'baudib1', 'matt', 'mhsmith0', 'neil the eel', 'Hyena', 'gamer', 'Porscha']","['Hallia', 'Kuti plz']"
spooky randed town,joat10,41515,6191,Mafia,"['insomnia', 'alexa.', 'baudib1', 'anne.', 'InstantHammer', 'gamer', 'Taffy', 'Kajot']","['Happy', 'spookycat27']"
Mac and Manny hydra,joat10,41511,6190,Town,"['insomnia', 'Kajot', 'InstantHammer', 'Carlos', 'Xanjori', 'DoctorZeus', 'spookycat27', 'Manny']","['Mumen Rider', 'Happy']"
Did you know that Carlos randed JOAT 3 games in a row?,joat10,41507,6189,Mafia,"['Carlos', 'Happy', 'insomnia', 'SilverKeith', 'Macdougall', 'lol', 'Athena Cykes', 'Mumen Rider']","['Manny', 'Jaleb']"
ok,joat10,41503,6188,Town,"['baudib1', 'matt', 'DUKE!', 'Porscha', 'Happymeal', 'Donut Boy', 'Carlos', 'lol']","['arogame123', 'DoctorZeus']"
dark forces turbo,joat10,41499,6187,Town,"['Prince J', 'Hyena', 'Carlos', 'Porscha', 'Donut Boy', 'judge rabbit', 'Dark Forces', 'Manny']","['matt', 'DUKE!']"
"boob1 and boob1 walk into a boob,",vig10,41494,6186,Town,"['Tanglefire', 'Taffy', 'baudib1', 'insomnia', 'DoctorZeus', 'funni boi', 'Xanjori', 'boob1']","['Kajot', 'deine mudda']"
we love jc,joat10,41490,6185,Mafia,"['Happy', 'matt', 'anne.', 'insomnia', 'Kajot', 'Macdougall', 'Manny', 'Carlos']","['InstantHammer', 'baudib1']"
Lunch carlos d1,joat10,41485,6184,Town,"['baudib1', 'Kuti plz', 'matt', 'Hallia', 'DUKE!', 'Illwei', 'Donut Boy', 'Carlos']","['Prince J', 'spookycat27']"
null the lull,joat10,41475,6182,Town,"['matt', 'insomnia', 'DUKE!', 'baudib1', 'Illwei', 'Alexanny', 'wolfboy', 'Hallia']","['Nippleman', 'Kuti plz']"
Alexa get better,joat10,41471,6181,Town,"['matt', 'Nippleman', 'Variance', 'DUKE!', 'DoctorZeus', 'baudib1', 'Frog on a Leaf', 'Violet']","['Illwei', 'Xanjori']"
lol,joat10,41467,6180,Mafia,"['InstantHammer', 'insomnia', 'baudib1', 'Xanjori', 'matt', 'anne.', 'Kajot', 'lol']","['Variance', 'Nippleman']"
dark forces are in thread,joat10,41462,6179,Town,"['insomnia', 'Zharvakko', 'alexa.', 'DoctorZeus', 'lol', 'Dark Forces', 'gamer', 'Purrito']","['baudib1', 'Xanjori']"
Automated turbo game thread: 1d761e4d-9e0b-4e,joat10,41457,6178,Mafia,"['matt', 'insomnia', 'lol', 'Variance', 'Manny', 'baudib1', 'SilverKeith', 'Xanjori']","['alexa.', 'DUKE!']"
